gene,MF.score
PLCB1,5.23600540392608e-4
ZP2,7.64653961504637e-5
ASTL,1.86158020226896e-4
PLCZ1,1.92122733501065e-5
WBP2NL,5.4098384018846e-5
CDK1,3.04686807163768e-4
PRSS37,7.65923123198609e-6
CCT3,2.13544464352994e-5
CCT5,2.81787107082935e-5
FETUB,2.30554694336959e-5
CLGN,1.37865538130597e-5
TCP1,5.19815411788794e-5
CCT7,2.13074135397491e-5
ATP8B3,3.80255371429927e-5
ADAM20,7.13825435496258e-6
ARSA,9.65472702937119e-5
HSPA1L,1.80072921691976e-5
CCT6A,2.26940576975654e-5
CCT8,2.95570232119946e-5
CCT4,2.28597252497542e-5
ZP1,6.49202150185558e-6
CCT2,2.66054717785826e-5
OVGP1,2.06168076148797e-4
UBAP2L,1.14224394194079e-5
GLIPR1L1,6.38270676415482e-5
ADAM30,7.13825435496258e-6
ADAM21,7.89690450099566e-6
ZAN,6.15204498308816e-6
KCNU1,4.70648611318602e-5
SPACA3,7.24392062405413e-5
HVCN1,5.92418040661046e-5
UBE3A,8.83839264967664e-5
WEE2,1.46834718566056e-4
UBXN8,1.70336024765229e-5
XKRY,1.40231332343195e-6
DNALI1,7.42854017418827e-5
CD46,1.26609716582356e-4
HOXD9,3.01634164869533e-5
HOXD10,3.89627553559324e-5
OR10J1,3.21762836743692e-6
HOXD11,5.97084095034943e-5
OR1D2,1.07699874662452e-5
GNPDA1,1.23431045906138e-4
LCN6,1.36539578997319e-6
MST1R,8.47528832567698e-5
SPAG1,6.79024486203578e-6
MFGE8,5.02697561883487e-5
LRMP,1.07549303612965e-5
UMODL1,5.17222058102935e-5
RNASE10,8.57554836186393e-5
AKAP4,3.0913621621617e-5
IGSF8,3.72870255985669e-6
ELSPBP1,1.36539578997319e-6
TUBGCP3,3.04407293363764e-5
PARK7,0.00281485525093482
SYCP2,7.21903053692404e-5
OOEP,1.08535270263981e-5
MEIOB,9.58481729790547e-5
NR2F2,1.90622466568141e-4
NLRP5,1.6989904677952e-5
FUT10,4.779394909926e-5
TEX11,1.01223413052201e-4
SPTBN4,1.26303158245369e-4
PVRL3,1.44764251833376e-5
DUOX2,1.61547561555246e-4
AAAS,2.00405263579408e-5
CLIC4,7.18854525616881e-5
STAT3,1.24738712860883e-4
VGF,2.78840615369752e-5
IL12B,7.77920671216025e-4
SEPP1,3.30392170555279e-5
SEMG2,1.17716459815883e-6
EIF4H,1.15572337344689e-5
IL1B,8.11745256535651e-4
PRKDC,1.90428493914301e-4
IL1A,9.7856902275669e-5
KITLG,1.88346507052239e-4
