gene,logFC
AKR7L|AKR7A3|AKR7A2P1|AKR7A2,-1.3770245037058493
AKT1,-1.2561103256854185
AKT1S1,-0.20264307177324462
AKT2,-0.7728704216102597
AKT3,1.0219064175861738
AKTIP,-1.1030121995995172
ALAD,-1.6894291987753145
ALAS1,-1.9518553956503488
ALAS2,0.1119413844915467
ALB,-2.8691216963442177
ALCAM,0.14051507356818843
ALDH16A1,0.011030014684140386
ALDH18A1,-1.0690284658196236
ALDH1A1,0.3515640931403971
ALDH1A2,-0.2072409815148464
ALDH1A3,-0.4045603246852194
ALDH1B1,-1.1498024343326945
ALDH1L1,-2.3792212182414523
ALDH1L1-AS2,-0.20562956528595075
ALDH1L2,2.28960780534442
ALDH2,-1.7952128617619492
ALDH3A1,2.023553009087751
ALDH3A2,-0.9091203442525311
ALDH3B1,0.4575325628594653
ALDH4A1,-2.5402936652137607
ALDH5A1,-3.1451826598718564
ALDH6A1,-3.6133571566854426
ALDH7A1,-1.8522364474797852
ALDH8A1,-3.9471242776003703
ALDH9A1,-0.38511170052322496
ALDOA,1.378400781340351
ALDOB,-3.8000469285362564
ALDOC,-1.7864034043777923
ALG1,0.2615138046263323
ALG10|ALG10B,0.27770215348395244
ALG10B,-0.5463086139952996
ALG12,-0.4968945251679444
ALG13,-0.734215176817981
ALG14,-0.02850933903710437
ALG2,-0.9199728409142759
ALG3,-0.003212054641827101
ALG5,-0.21772578790200756
ALG6,-0.4901071830103965
ALG8,-0.6931518043198791
ALG9,-0.5754552637883014
ALK,0.34806342116674327
ALKAL2,1.764126982111996
ALKBH1,-0.3072846906155918
ALKBH2,-0.45827654291094444
ALKBH3,0.07643333590235887
ALKBH4,-0.33654205114423097
ALKBH5,-0.49078397231961846
ALKBH6,-0.0755803425140334
ALKBH7,-1.0488501179582432
ALKBH8,-0.5414211478384696
ALLC,0.3461034005326255
ALMS1,0.3104155451968204
ALMS1P1,0.2399772372483602
ALOX12B,-0.3620600519610276
ALOX12P2,-0.32412737876925735
ALOX15B,0.30094498991137325
ALOX5,2.6442839419551407
ALOX5AP,0.8217384498058111
ALOXE3,-0.17290744876744477
ALPI,-0.3243328637997329
ALPK1,0.2887877427081686
ALPK2,-2.5467275618826437
ALPK3,0.18198064862186336
ALPL,-0.44830042060976155
ALPP,-0.043221401932321886
ALPPL2,-0.19685473691800023
ALPPL2|ALPP,-0.1779263505682406
ALS2,-1.99605405714136
ALS2CL,-0.9172795573344055
ALS2CR12,0.24534519690366935
ALX1,-0.33895341677552426
ALX3,-0.18765013417027185
ALX4,0.21768102405551015
ALYREF,-0.19260150625173952
AMACR|C1QTNF3-AMACR,-0.6792257715813858
AMBN,-0.06676086575369485
AMBP,-2.950603936577318
AMBRA1,0.24634918016215435
AMD1,0.21406537461420155
AMDHD1,-5.370869110544115
AMDHD2,0.7768120992494505
AMELY,-0.21338403977615147
AMER3,-0.1546543903456438
AMFR,-1.4710032698149045
AMH,0.14643015798771108
AMHR2,-0.12696470756138115
AMIGO2,0.8214629832296523
AMMECR1,0.20345796495066068
AMMECR1L,0.16277332560916788
AMN,-0.5814269777053667
AMN1,-0.20804672969394172
AMOTL1,-0.2916304004638411
AMOTL2,0.7897493301402562
AMPD1,0.4476784851300958
AMPD2,0.18849041210899914
AMPD3,1.701729545315701
AMPH,-0.08337449165337274
AMT,-0.803140998071175
AMY1A|AMY1C|ACTG1|AMY1B,0.314697463182796
AMY1A|AMY1C|AMY2A|AMY2B|AMY1B,-0.41334357439572905
AMY2B|RNPC3,0.8040675908001776
AMZ1,-0.2761581046859062
AMZ2,0.554137822019933
AMZ2P1,0.6528207626085364
ANAPC1,-0.02161225684392899
ANAPC10,-0.666210622151476
ANAPC11,-0.02728354821772579
ANAPC13,-0.07683125996821105
ANAPC15,0.4080702130911935
ANAPC16,-0.8467468985281678
ANAPC2,0.16234103335500327
ANAPC4,0.6736519101726677
ANAPC5,0.5880143971109962
ANAPC7,-0.40831067208966304
ANG,-3.010019986402042
ANGEL1,-0.4401061072757612
ANGEL2,-0.6504197384630733
ANGPT1,2.0977130514144986
ANGPT2,-0.8010241436585616
ANGPT4,-0.05600208871317348
ANGPTL1,0.5182906619153039
ANGPTL2,1.3455772698070525
ANGPTL3,-4.264103984605411
ANGPTL4,1.0882575946103707
ANGPTL6,0.5323930975626681
ANGPTL7,-0.10911274838314645
ANGPTL8,-3.1599590023594994
ANHX,-0.1725638582305572
ANK1,0.06219167656642243
ANK2,0.9057167258842664
ANK3,1.5033426214639933
ANKDD1A,2.135274468583071
ANKEF1,-0.7015995222689596
ANKFY1,-0.2795343399380995
ANKH,0.4018176886124934
ANKHD1-EIF4EBP3|ANKHD1,-0.6235053105916925
ANKHD1|ANKHD1-EIF4EBP3,-0.6372224136714203
ANKIB1,0.18892537068102455
ANKLE2,0.3900549033464922
ANKMY2,-0.0873690141844361
ANKRA2,-0.45601050842931257
ANKRD10,0.7101397074323164
ANKRD11,0.8131247293658372
ANKRD12,-0.8942059636733266
ANKRD13A,0.7466780921126122
ANKRD13B,-0.24174782886121254
ANKRD13C,0.15346527074895341
ANKRD13D,0.381955638316313
ANKRD16,-0.25055559289140966
ANKRD17,0.6152250624412301
ANKRD18B,0.22359180401177103
ANKRD19P,0.027927397856527817
ANKRD2,-0.23354478334329679
ANKRD20A2|ANKRD20A3,1.0438186349391931
ANKRD20A3|ANKRD20A11P|ANKRD20A2|ANKRD20A1|ANKRD20A4|ANKRD20A8P|ANKRD20A5P,0.7540241067241844
ANKRD22,1.0182000809941036
ANKRD23,-0.12400121379951547
ANKRD24,-0.20727701152942546
ANKRD26,-0.2365318858702518
ANKRD26P3,0.2590056749341111
ANKRD27,0.3754088981360023
ANKRD28,-1.1033731963319082
ANKRD29,1.2035403366443636
ANKRD33,0.3485910132457315
ANKRD33B,0.30723070056080765
ANKRD35,-1.5242062091326143
ANKRD36|ANKRD36B|ANKRD36BP2,2.650372318098771
ANKRD36B,3.111798935389535
ANKRD36BP2,4.675232744887208
ANKRD37,-0.7483628558278004
ANKRD39,-0.3026293009929732
ANKRD40,-0.3582363572587465
ANKRD44,1.8575295704344263
ANKRD46,-1.6059577591336711
ANKRD49,-0.2616725121712518
ANKRD50,-0.44472194288468314
ANKRD52,0.3551788409214981
ANKRD53,-0.26859830419499003
ANKRD54,-0.15800932990541505
ANKRD55,1.6002526191336284
ANKRD6,-0.667345854995863
ANKRD65,-0.035361078380579156
ANKRD9,-0.061514747264948835
ANKS1A,0.789985652036518
ANKS1B,0.042403544814458606
ANKS3,-0.22230293758044561
ANKS4B,-1.236393704547259
ANKS6,0.30719414546013296
ANKUB1,-0.1468101905111167
ANKZF1,-0.1878567158982462
ANLN,2.8262563084389187
ANO1,-2.093166385303341
ANO10,0.4910627591590968
ANO3,1.9698177414054003
ANO4,-0.08469174655657452
ANO5,-1.1061838465606602
ANO6,-0.7426677980597794
ANO7,-0.28709884247192197
ANO8,-0.2676105396411396
ANO9,0.188346338440717
ANOS1,1.590773853442286
ANP32A,0.7467558555324847
ANP32AP1|ANP32A,0.021171560472574073
ANP32B,1.2022042357187859
ANP32E,0.6456113869350968
ANPEP,-0.9524505001314676
ANTXR1,1.9284280359867072
ANTXR2,-0.624024140638815
ANXA1,2.2719950921168763
ANXA10,-4.276862740671381
ANXA11,1.1394413362548514
ANXA13,2.9496485475423926
ANXA2,2.3792136185039543
ANXA2|ANXA2P3,2.502338774616296
ANXA2P1,0.2644367250757907
ANXA2P2,2.291890818058552
ANXA2P3,0.2699923260073699
ANXA2R,0.5876720040212433
ANXA3,2.598725747225758
ANXA4,1.2493612203234388
ANXA5,1.4443667803142282
ANXA6,0.0072434120841016955
ANXA7,-0.8193040692933734
ANXA8|ANXA8L1,0.41642125811764674
ANXA9,-1.2474957662790689
AOAH,2.1976090423471333
AOC1,-1.0328280938252044
AOC2,-0.3205661694154117
AOC3,0.8630296968132786
AOC4P,-0.3977476550414734
AOX1,-4.712037642435377
AOX2P,0.3613663744871037
AP1AR,-0.5387323786355781
AP1B1,0.8895171162535754
AP1G1,-0.535338998389235
AP1G2,1.2463455311235594
AP1M1,-0.4867540299697291
AP1M2,0.9891534662786114
AP1S1,0.17048086237264307
AP1S2,2.0321631840841987
AP1S3,0.3521943122897998
AP2A1,-0.2669596651966577
AP2A2,0.9912056035660259
AP2B1,0.5346132334522973
AP2M1,0.4456908570435798
AP2S1,1.1179205392009102
AP3B1,0.45177099377949276
AP3D1,-0.1798004694780469
AP3M1,-0.4117587173900821
AP3M2,0.9929655474628696
AP3S2|C15orf38-AP3S2,-0.7198253596918968
AP4B1,0.5682457563930184
AP4E1,-0.23657626755688863
AP4M1,-0.008959305699175841
AP4S1,0.31019829594660114
AP5B1,0.6428255346372895
AP5M1,-0.6684167860155629
AP5S1,-0.003512301545875175
AP5Z1,0.05972096354914485
APAF1,0.4517770700832112
APBA1,-0.760877346549995
APBA2,0.6005954273083454
APBA3,-0.5420386687220805
APBB1,-0.22435786921298467
APBB1IP,-0.4632230451775171
APBB2,0.5218397720186193
APBB3,-0.31868111983792663
APC,-0.39747062526909
APC2,-0.399305132440092
APCDD1,0.8975132741381733
APCDD1L,-0.15613292961815722
APCDD1L-AS1,-0.0706298693045941
APCS,-3.1166243438017656
APEH,0.04276744862469391
APEX1,0.38440942866574246
APEX2,0.11793575400487784
APH1A,-1.1288240987231297
APH1B,1.178287187889079
API5,-0.6730434169244728
APIP,-0.14547638331921264
APITD1-CORT|CENPS,0.23650578409017434
APLN,-0.4052904181627185
APLNR,0.6946984865567141
APLP1,0.34100369907262723
APLP2,-0.36727709635264977
APMAP,-1.7126018693824665
APOA1,-3.720476838540063
APOA1-AS,-1.489448342425583
APOA2,-2.5427365540676115
APOA4,0.02278547336115406
APOA5,-3.163641165348484
APOB,-3.007754196764619
APOBEC2,-0.3192698271471168
APOBEC3A,0.5639735427846436
APOBEC3A_B|APOBEC3B,3.531277982658117
APOBEC3C,0.7181067547307345
APOBEC3D,-0.18852594644043577
APOBEC3D|APOBEC3F,-0.19419962385386494
APOBEC3F,0.9611806380839791
APOBEC3G,3.4642724531007376
APOBEC3G|APOBEC3F,0.15236028967121146
APOBR,0.7579974409180813
APOC1,-1.0451268648624505
APOC2|APOC4-APOC2,-1.6582106049528245
APOC3,-3.5367489232188665
APOC4|APOC4-APOC2,-2.5259760374946794
APOD,-0.7062756321160892
APOE,-1.682349330330558
APOF,-5.515350444848187
APOH,-3.19554817040013
APOL1,0.08406295754129879
APOL2,0.378860237966791
APOL3,0.8019318943858221
APOL4,-0.21652285662905915
APOL5,-0.38130221597742125
APOL6,-0.8474939624326517
APOLD1,0.9732179915464432
APOM,-2.751579384439122
APOO,-0.07228400418442872
APOOL,-1.3025822138645462
APOPT1,-0.07434256392452408
APP,0.2956855921479547
APPBP2,0.41451919993425196
APPL1,-0.3114657684837212
